Timestamp;What is your gender?;How old are you?;What is your nationality?;Where do you live?;What do you buy the most?;How often do you buy at fast fashion brands (Zara, Topshop, Primark);Do you support sustainable fashion? ;How often do you buy sustainable clothes? ;Do you know if what you buy comes from a sustainable chain?;What do you do with your old clothes?;Do you support circular economy models for sustainability?;Do you know the impact of fashion on the environment?;Did you know the production of clothes leaves big water and carbon footprint ?;How many liters of water do you think are needed to produce just one cotton shirt?;Do you think that the fashion business needs a change (with respect to its impact)? ;How could the industry reduce its impact on the environment ? (give one example)
11/25/2021 8:33:57;F;16-25;Jordanian;United States;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;25;Yes;
11/25/2021 8:34:38;F;16-25;palestinian ;Jordan;Sustainable clothes;2 times a year;No;2 times a year;No;Donate;no;No;Yes;1;Yes;
11/25/2021 8:37:22;F;16-25;Jordanian ;Jordan ;Fast fashion;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;2000;Yes;Conserve water 
11/25/2021 8:37:45;F;16-25;Swedish;Spain;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;10;Yes;keep promoting sustainable fashion even for the fast fashion brands
11/25/2021 8:40:15;F;16-25;Jordanian;Jordan ;Sustainable clothes;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;No;10;Yes;-
11/25/2021 8:41:08;F;16-25;Iraqi ;Germany;Fast fashion;Weekly;No;;No;Donate;yes;Yes;Yes;3000;Yes;reduce ready to wear quantities 
11/25/2021 8:42:08;F;30-50;Joradanian;Jordan;Fast fashion;5 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;50;Yes;
11/25/2021 8:42:38;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;2 times a year;No;Donate;no;No;No;2;Yes;I don't know 
11/25/2021 8:51:24;M;16-25;Jordanian ;Jordan;Sustainable clothes;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;3;Yes;Recycling clothes
11/25/2021 9:02:36;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;10;No;Recycling
11/25/2021 9:11:30;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;No;No;3;Yes;Use more sustainable resources 
11/25/2021 9:26:18;M;16-25;Lebanese;Spain;Sustainable clothes;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;5;Yes;
11/25/2021 9:51:07;F;16-25;Brazilian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;10;Yes;Quality over quantity
11/25/2021 9:53:59;M;16-25;Brazilian ;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;20;Yes;Recycling their materials 
11/25/2021 9:55:00;M;16-25;Brazilian;Spain;Sustainable clothes;2 times a year;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;5;Yes;Improve its factors of production
11/25/2021 9:55:25;F;16-25;Italian;Italy;Fast fashion;Weekly;Yes;Monthly;Yes;Donate;yes;No;No;5;Yes;recycling the materials of old clothes and lowering the prices of sustainable clothes
11/25/2021 10:07:01;M;16-25;Argentinian;Spain;Fast fashion;5 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;1000;Yes;using clothes donated by customers to produce new pieces
11/25/2021 10:17:52;F;16-25;Brazilian;Brazil;Sustainable clothes;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;6;Yes;stop mass production and reduce producing trendy clothes every month - produce less collections in less quantities
11/25/2021 10:51:10;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;2000;Yes;Recycling
11/25/2021 11:05:38;F;16-25;Colombian ;Spain;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;no;Yes;No;300;Yes;Recycling 
11/25/2021 11:14:42;F;16-25;Brazilian;Brazil;Fast fashion;Monthly;No;5 times a year;Yes;Donate;no;Yes;Yes;2500;Yes;lower the price to encourage consumption of sustainable stores
11/25/2021 11:15:15;M;16-25;Jordanian;Jordan;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;No;No;2;Yes;Redesign unused clothes
11/25/2021 11:24:48;M;16-25;Swiss;Switzerland;Sustainable clothes;2 times a year;Yes;5 times a year;No;Keep them;yes;Yes;Yes;15;Yes;Force product sourcing to be ethical
11/25/2021 11:25:10;F;16-25;French;Portugal;Fast fashion;Monthly;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;10;Yes;"Reduce carbon footprint
"
11/25/2021 11:28:32;M;16-25;Morrocan;Spain;Fast fashion;5 times a year;Yes;2 times a year;No;Donate;yes;No;No;2;Yes;"Ask for a recovery of old close from customers to either donate them , by giving in exchange a reduction coupon . Or get them back them to fix them and resell them . This technique is the one used by apple for its iPhone 
"
11/25/2021 11:28:36;M;16-25;Spanish;Spain;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;500;Yes;Have regulations on how much carbon they emit or water they use
11/25/2021 11:29:46;F;16-25;Georgian;Spain;Fast fashion;Monthly;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;2700;Yes;reuse materials and reduce waste
11/25/2021 11:30:55;M;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;Monthly;Yes;Keep them;yes;No;No;1000;No;Products materials that don't affect the environment
11/25/2021 11:31:34;F;16-25;French;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Keep them;yes;Yes;Yes;2000;Yes;???????
11/25/2021 11:31:56;F;16-25;French ;France ;Fast fashion;5 times a year;Yes;2 times a year;No;Throw them away;yes;Yes;No;200;Yes;Stop using polyester 
11/25/2021 11:32:40;F;16-25;Portuguese;Portugal;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;No;5;Yes;awareness, so that companies change their methods to help the environment 
11/25/2021 11:33:44;M;16-25;Congolese;Congo;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;No;150;Yes;Recycle bicycle
11/25/2021 11:34:32;M;16-25;Portuguese;Spain;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;No;No;100;Yes;implement mandatory sustainability for every clothing company
11/25/2021 11:35:05;F;16-25;Portuguese ;Spain;Fast fashion;Monthly;Yes;5 times a year;No;Donate;yes;Yes;Yes;2;Yes;put regulations on big fast fashion brands to strict their clothing lines to 50% of sustainable clothes at least 
11/25/2021 11:35:14;M;16-25;Italian;Spain;Sustainable clothes;2 times a year;Yes;Monthly;No;Donate;yes;Yes;Yes;10.000;Yes;FOCUS ON LONG LASTING CLOTHES, LIKE PATAGONIA
11/25/2021 11:35:22;M;16-25;French ;Spain;Sustainable clothes;5 times a year;Yes;5 times a year;No;Keep them;yes;Yes;Yes;5;Yes;Produce locally, but that will increase prices
11/25/2021 11:35:34;Neuter ;16-25;Chinese;United States;Sustainable clothes;2 times a year;No;2 times a year;Yes;Keep them;no;Yes;Yes;500;No;by closing the industry
11/25/2021 11:35:38;M;16-25;Peruvian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Keep them;yes;No;No;10;Yes;Use solar pannels in their fabrics
11/25/2021 11:36:42;F;16-25;Spanish;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Keep them;yes;Yes;Yes;20;Yes;By producing in the countries where they are selling with local materials. 
11/25/2021 11:37:35;M;16-25;Egyptian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;No;No;1;Yes;Recycling old clothes that were thrown away
11/25/2021 11:38:19;M;16-25;Mexican ;Spain;Fast fashion;2 times a year;Yes;2 times a year;Yes;Keep them;yes;Yes;Yes;1000;Yes;Try to move away from fast fashion, as this creates great amounts of wasted clothes 
11/25/2021 11:41:05;M;16-25;Lebanese ;Spain;Fast fashion;Monthly;Yes;Monthly;No;Donate;no;No;Yes;5;Yes;Find a new textile that?s more sustainable 
11/25/2021 11:41:53;F;16-25;Moroccan;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;6;Yes;Give sales if you give back your old clothes
11/25/2021 11:42:04;F;16-25;German;Spain;Fast fashion;Weekly;Yes;2 times a year;No;Donate;no;No;Yes;1;Yes;Reuse clothes 
11/25/2021 11:43:41;M;16-25;Colombian;Colombia ;Sustainable clothes;2 times a year;Yes;5 times a year;No;Donate;yes;Yes;Yes;100;Yes;Using materials friendly for the environment 
11/25/2021 11:43:56;F;16-25;French;Spain;Fast fashion;Weekly;Yes;2 times a year;Yes;Donate;yes;No;No;20;No;Promote more sustainable brands
11/25/2021 11:45:00;F;16-25;Canadian ;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;6;Yes;They could promote more sustainable brands as I feel like I don?t know that many and I?m unaware of the sustainable brands. I think the sustainable brands also need to make more ?fashionable? clothes that will push people to invest in them more. The ones I know of are pangaia and the giving movement which relatively offer the same style of clothes (casual-sporty) 
11/25/2021 11:49:34;F;16-25;Jordanian;Germany;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;6;Yes;conserve water
11/25/2021 11:50:35;F;16-25;Spanish;Spain ;Fast fashion;5 times a year;Yes;2 times a year;No;Donate;no;No;Yes;50;Yes;motivating second hand shops and favouring green businesses 
11/25/2021 11:51:58;M;25-30;Colombian;Colombia;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;50;No;Close Zara 
11/25/2021 12:00:45;M;16-25;Peruvian;Spain;Sustainable clothes;Monthly;Yes;Monthly;No;Donate;yes;Yes;Yes;2699;Yes;Use less water
11/25/2021 12:02:53;M;30-50;French;Malaysia;Sustainable clothes;2 times a year;Yes;5 times a year;No;Donate;yes;No;Yes;30;Yes;less production and better quality 
11/25/2021 12:07:29;M;16-25;Portuguese ;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;No;Yes;20;No; using less pollutants 
11/25/2021 12:08:19;F;16-25;Colombian ;France ;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;10;Yes;Change textiles
11/25/2021 12:08:28;M;16-25;Spanish;Spain;Sustainable clothes;5 times a year;Yes;Monthly;Yes;Donate;yes;Yes;Yes;2000;Yes;idk
11/25/2021 12:11:30;M;16-25;Norwegian;Spain;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;100;Yes;stricter regulation - making it more expensive to pollute
11/25/2021 12:19:22;F;16-25;Colombian;France;Fast fashion;Monthly;No;2 times a year;No;Donate;yes;Yes;Yes;2;Yes;Stop overproducing 
11/25/2021 12:19:50;M;16-25;Mexican;Spain ;Fast fashion;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;15;Yes;I think that the primary imp cteles are acc slow fashion and luxury brands like LV for example any unsold item from a collection gets burnt
11/25/2021 12:20:40;M;16-25;Italian;Brussels ;Fast fashion;2 times a year;Yes;5 times a year;No;Keep them;yes;Yes;Yes;50;Yes;Producing local, shipping leaves a huge ecological footprint
11/25/2021 12:22:39;F;50+;Brazilian;Brazil ;Sustainable clothes;2 times a year;Yes;2 times a year;Yes;Donate;yes;No;No;40;Yes;Gucci. 
11/25/2021 12:28:31;F;30-50;Brazilian;Brazil ;Sustainable clothes;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;3;Yes;decreasing the clothing collections! 
11/25/2021 12:31:34;F;16-25;Brazilian ;Brazil;Fast fashion;Weekly;Yes;Monthly;Yes;Donate;yes;Yes;No;3;Yes;Renting Clothes insted of buying them to use just once and then leave it in the closet
11/25/2021 13:02:55;M;16-25;Romanian;Spain;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;No;Yes;1000;Yes;Have a maximum amount of water which could be used for each shirt.
11/25/2021 13:04:33;M;16-25;Indian;India;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;0,5;Yes;Reduce their carbon footprint 
11/25/2021 13:08:00;M;16-25;Canadian;Spain;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;no;No;No;300;Yes;reducing its carbon footprint
11/25/2021 13:09:06;F;16-25;French;The Netherlands;Sustainable clothes;2 times a year;Yes;Monthly;No;Donate;yes;Yes;Yes;10;Yes;recycle material
11/25/2021 13:15:52;F;16-25;Colombian ;Colombia;Fast fashion;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;4000;Yes;Clothes recycling 
11/25/2021 13:17:50;M;16-25;Colombian;Colombia;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;No;No;500;Yes;Idk
11/25/2021 13:29:19;M;16-25;Lebanese;Spain;Sustainable clothes;Monthly;Yes;Monthly;No;Donate;no;No;No;15;No;stop killing animals!
11/25/2021 13:33:08;F;50+;Romanian ;Romania;Sustainable clothes;2 times a year;No;2 times a year;No;Donate;no;Yes;Yes;2000;Yes;To stop advertising for buying clothes, to make people more aware about the impact of consumerism, 
11/25/2021 13:34:07;F;30-50;Brazilian;Brazil;Sustainable clothes;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;2000;Yes;I believe people have to buy less? 
11/25/2021 13:35:28;M;16-25;Jordanian ;UAE ;Sustainable clothes;5 times a year;Yes;Monthly;No;Donate;yes;Yes;Yes;5;Yes;Change how they produce their products and the sources they get it from. 
11/25/2021 13:38:45;M;50+;Romanian;Romania;Sustainable clothes;2 times a year;Yes;Monthly;Yes;Donate;yes;Yes;Yes;5000;Yes;Don?t know
11/25/2021 13:40:25;M;30-50;Romanian;Romania;Fast fashion;Monthly;No;5 times a year;Yes;Donate;yes;Yes;Yes;1000;Yes;Price increase
11/25/2021 13:42:48;F;16-25;Colombian ;Colombia;Fast fashion;Monthly;Yes;2 times a year;No;Donate;no;Yes;Yes;24000;Yes;Recycling fabric an old pieces
11/25/2021 13:43:08;M;16-25;Argentina ;Spain;Fast fashion;2 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;5;Yes;Less fur involved in products
11/25/2021 13:43:38;M;30-50;Romanian;Romania;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;800;Yes;the industry won't. the consumers should. 
11/25/2021 13:45:42;F;30-50;Romanian;Romania;Fast fashion;Monthly;No;2 times a year;No;Donate;yes;No;Yes;1000;Yes;Conserve water. Recycle. 
11/25/2021 13:48:26;F;30-50;Romanian;Romania;Sustainable clothes;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;2500;Yes;"Better quality of materials, less emphasis on ""fashionable"" goods etc"
11/25/2021 14:08:15;F;16-25;Colombian;Colombia;Fast fashion;Weekly;Yes;2 times a year;No;Donate;yes;No;No;4;Yes;Idk
11/25/2021 14:09:18;M;16-25;Romanian;Romania;Sustainable clothes;2 times a year;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;5000;Yes;Less consummer, first of all.. more qualitative clothes (bio). 
11/25/2021 14:10:19;F;50+;Romanian;Romania;Sustainable clothes;2 times a year;Yes;2 times a year;Yes;Donate;yes;No;Yes;20;Yes;use of natural fibers
11/25/2021 14:10:33;M;30-50;Brazilian;Brazil ;Sustainable clothes;2 times a year;No;2 times a year;Yes;Donate;yes;Yes;Yes;150;Yes;Change the elements
11/25/2021 14:10:43;F;30-50;Romanian;Romania;Sustainable clothes;2 times a year;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;4000;Yes;Bio fiber, reciclate 
11/25/2021 14:15:30;F;16-25;Jordanian ;Jordan;Fast fashion;Weekly;No;2 times a year;No;Donate;no;No;No;2000;Yes;Recycle 
11/25/2021 14:21:32;M;30-50;Romanian;Romania;Fast fashion;5 times a year;No;5 times a year;No;Donate;no;No;No;2;Yes;Less collections
11/25/2021 14:25:39;F;16-25;Brazilian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;5;Yes;Implementing policies that limit the production of fast fashion clothes 
11/25/2021 14:25:53;M;50+;Romanian;Romania;Sustainable clothes;5 times a year;Yes;5 times a year;No;Donate;yes;Yes;Yes;1000;Yes;Re-use, recondi?ion old clothes
11/25/2021 14:27:36;F;16-25;Colombian ;Colombia ;Fast fashion;Weekly;Yes;Monthly;No;Donate;yes;No;No;200;No;Recycling
11/25/2021 14:29:01;F;30-50;Romanian;Romania;Sustainable clothes;5 times a year;Yes;2 times a year;No;Donate;yes;Yes;Yes;2000;Yes;recycled fabrics 
11/25/2021 14:31:32;M;16-25;British;United Kingdom;Fast fashion;Monthly;Yes;5 times a year;No;Donate;yes;No;Yes;10;Yes;make the clothes with more sustainable materials 
11/25/2021 14:35:32;F;16-25;Colombian;Colombia ;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;1500;Yes;Finding new production methods
11/25/2021 14:35:36;F;16-25;Colombian;Colombia ;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;36;Yes;Finding new production methods
11/25/2021 14:46:13;M;16-25;Mexican;Spain;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;No;Yes;2000;Yes;Idk 
11/25/2021 14:47:28;M;16-25;Ecuadorian;Spain;Sustainable clothes;2 times a year;Yes;Monthly;No;Keep them;yes;Yes;Yes;25;Yes;Pursue a recycling approach where people can donate clothes to stores to recycle those materials - to incentivize this the store could give some sort of discount/benefit to the donators
11/25/2021 15:14:33;M;16-25;Dominican;Spain;Fast fashion;2 times a year;No;5 times a year;No;Donate;yes;Yes;Yes;3;Yes;All brands should be more sustainable
11/25/2021 15:19:50;F;16-25;German;Spain;Fast fashion;Monthly;Yes;5 times a year;No;Keep them;yes;Yes;Yes;3000;Yes;/
11/25/2021 15:22:15;M;16-25;Palestinian;Spain;Fast fashion;2 times a year;Yes;2 times a year;No;Keep them;no;Yes;No;40;No;Use sustainable material
11/25/2021 15:26:56;M;16-25;Jordanian;Jordan;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;2;Yes;By reducing carbon dioxide emissions for example.
11/25/2021 15:28:12;M;16-25;Colombian;Mexico;Fast fashion;Monthly;Yes;2 times a year;No;Throw them away;no;Yes;Yes;40;Yes;Less production 
11/25/2021 15:39:15;F;16-25;Colombian;Spain;Fast fashion;5 times a year;Yes;2 times a year;No;Donate;yes;No;No;100;Yes;Maybe using used clothes to make other pieces?
11/25/2021 15:49:05;F;16-25;Italian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;100;Yes;by implementing eco methodologies into production 
11/25/2021 15:52:26;F;16-25;Jordanian ;United States;Fast fashion;Monthly;Yes;2 times a year;No;Throw them away;yes;Yes;Yes;7;Yes;N/a
11/25/2021 16:13:26;F;16-25;Mexican;Spain;Fast fashion;Monthly;Yes;5 times a year;No;Donate;yes;No;No;5;Yes;Higher quality, less quantity 
11/25/2021 16:28:23;F;30-50;Romanian;Romania;Sustainable clothes;5 times a year;Yes;5 times a year;No;Donate;yes;Yes;Yes;15000;Yes;Less launches (nobody needs weekly new products), better regulation of labelling (so brands can't sell something as organic if it is not), higher transparency of workforce used and chemicals
11/25/2021 17:30:22;F;16-25;Brazilian;United States;Fast fashion;Weekly;Yes;Monthly;No;Donate;yes;No;Yes;50;Yes;Impose law restrictions on fast fashion companies to reduce mass production
11/25/2021 17:53:13;M;16-25;Colombian;France;Fast fashion;5 times a year;Yes;5 times a year;No;Donate;yes;Yes;Yes;10;Yes;Idk
11/25/2021 18:43:52;M;30-50;Romanian;Romania;Sustainable clothes;2 times a year;Yes;5 times a year;No;Donate;yes;Yes;Yes;2500;Yes;reuse and recycle
11/25/2021 18:50:11;F;16-25;Colombian;Colombia;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;3;Yes;Making suitable clothing 
